"idtwitter","subj","pos","neg","iro","top","TEXT"
"193201249095651328","1","0","1","0","1","#Grillo Mi fa paura la gente che urla. Ne abbiamo già visti almeno un paio, ed è finita com'è finita. Niente urla per me, grazie."
"139741158778748928","1","0","1","0","1","Domattina Forza Nuova farà un banchetto in piazza a Faenza per dimostrare contro il governo Monti: ""No a governo di banchieri""."
"193641338066059265","0","0","0","0","1","Anche allo stadio si canta #Grillo uno di noi"
"143731095144370177","0","0","0","0","1","(LEO) Come Volevasi Dimostrare: Con il cattolicissimo Governo golpista di Mario Monti ed il tacito consenso di un...http://fb.me/1jt49IkoJ "
"187993229222883328","1","1","0","0","0","@Ale__Malik oddio quanto ti capisco.<3 *--*"
"164411239458549760","0","0","0","0","1","Obama risponde in diretta su YouTube (#ObamaHangOut) invece: Governo Monti, dialogo con i cittadini anche via mailhttp://tg24.sky.it/tg24/politica/2012/01/31/governo_dialogo_cittadini_twitter.html?utm_source=dlvr.it&utm_medium=twitter …"
"195616732327583744","1","0","1","0","1","Tweet Not Available"
"151960285350076416","0","0","0","0","1","Crosetto: “Monti trovi soluzioni reali”: #governo #guido crosetto #mario monti ROMA – ''Occorre permettere a que... http://bit.ly/t2kAP3 "
"393149534203019264","1","1","0","0","0","@PaolaCorb @alessandropaul7 @lucianaco7 no Paolè! mo chiudemo bottega pure noi! ;)) dolce notte Paolè! :))***"
"391971463525179392","1","1","0","0","0","Manicure!!!!!"
"193022600895664129","1","0","1","0","1","Tweet Not Available"
"136159169282707456","1","1","0","0","1","Monti: ""Politica trasformi la crisi in opportunità"": #crisi #governo #mario monti ROMA – ''Il mio impegno è rivo... http://bit.ly/tI6HLV "
"193015379386302464","1","0","1","1","0","Tweet Not Available"
"196176185506529280","0","0","0","0","0","Il Mugello apre le porte alla Formula 1 http://fb.me/1WGaoPslp "
"156716957545144321","0","0","0","0","1","La vera storia di Mario Monti http://goo.gl/fb/kOmi2  #spottv #laverastoriadimariomonti"
"148731437548449792","0","0","0","0","1","Ma il Governo Monti ha fatto quello che chiedeva l'Europa? http://fb.me/1ph0Kyj8D "
"137025287731949568","0","0","0","0","1","Il governo Monti alle prime prove oggi il premier in Senato per la fiducia http://bit.ly/s2itPm "
"189053974194827264","1","1","0","0","0","@andreaiannone29 stavi indiavolato... Bravo peccato per il rettilineo ma meglio di così non potevi fare!!! #Motomondiale"
"193687139949608964","0","0","0","0","1","“@fattoquotidiano: #Grillo e il teatrino della politica. Quanto ci piace.http://www.ilfattoquotidiano.it/2012/04/21/grillo-teatrino-della-politica-paice/206163/ …” cc @marcosinigaglia"
"192603747854196736","1","0","1","0","1","Tweet Not Available"
"192575468338298880","1","0","1","1","1","Tweet Not Available"
"193794793015476225","0","0","0","0","0","Tweet Not Available"
"391972737868386304","1","0","1","0","0","che schifo le castagne"
"396560652392996864","1","1","0","0","0","Tweet Not Available"
"195532089830014976","0","0","0","0","1","Guai confondere #Grillo col #M5S – Il Fatto Quotidiano http://www.ilfattoquotidiano.it/2012/04/26/guai-confondere-grillo-movimento-stelle/209120/ … via @fattoquotidiano"
"391810945116164096","1","0","1","0","0","La Yamaha è buona solo ad alzar polemiche. E la Honda a crearne."
"165188939764871171","1","0","1","0","1","Quello sul #postofisso e' stato il primo errore di comunicazione commesso da Mario #Monti"
"160366918337961984","1","0","0","0","1","Liberalizzazioni: tre articoli mirati a concedere la possibilità di trivellare gas e petrolio. Al governo Monti piacciono i buchi"
"146921644399669249","0","0","0","0","1","CASA, CONDOMINIO E MANOVRA SALVA-ITALIA DEL GOVERNO MONTI.martedì 13 dicembre 2011 http://lnkd.in/BN84md "
